"Tidsmerke","Hvilken øvingsforelesning følger du?","Hvor i ""øvingskalenderen"" ønsker du øvingsforelesningen skal være?

Gitt at innlevering for  øving 2 er fredag i uke 2, og innlevering for øving 3 er fredag i uke 3. ","Hvordan synes du tiden til å løse oppgaver i øvingsforelesningen er?"
"2022/09/02 2:20:04 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:06 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:07 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:07 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 2:20:07 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 2:20:08 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:13 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 2:20:14 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:18 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:20:24 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/02 2:20:24 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 2:20:27 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","4"
"2022/09/02 2:20:28 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:29 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 2:20:30 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:20:30 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:20:30 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 2:20:32 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:20:33 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 2:20:39 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
